id,llegada,fecha,usuarios_id,reservahabitaciones_id
0,T,2023-10-31,68773,4872
1,T,2023-10-21,96006,2675
2,F,2023-10-28,50141,1209
3,T,2023-10-26,52927,3421
4,F,2023-10-23,68272,1630
5,T,2023-10-17,79112,1522
6,T,2023-10-17,11749,3998
7,T,2023-11-04,17303,4651
8,F,2023-11-02,61671,406
9,T,2023-11-01,29777,2357
10,F,2023-10-21,56256,2303
11,T,2023-10-12,24136,4336
12,F,2023-10-24,7268,1264
13,T,2023-11-01,26565,895
14,F,2023-11-05,21908,4197
15,T,2023-10-18,72215,3130
16,T,2023-10-12,62607,4885
17,T,2023-10-13,9337,1918
18,F,2023-10-23,37246,1604
19,F,2023-10-25,54454,1554
20,T,2023-10-29,94396,571
21,F,2023-10-23,52595,3791
22,F,2023-11-03,50854,2837
23,F,2023-11-04,5890,3444
24,F,2023-10-19,8585,317
25,T,2023-10-17,54708,587
26,F,2023-10-22,76480,4016
27,F,2023-10-19,42398,3355
28,T,2023-10-09,33562,1812
29,T,2023-10-09,50669,4194
30,F,2023-10-20,83751,164
31,T,2023-11-03,50418,3943
32,F,2023-11-05,51263,4806
33,F,2023-11-03,55152,2372
34,T,2023-10-14,47642,2823
35,F,2023-10-13,34697,1671
36,T,2023-10-26,95955,3156
37,F,2023-10-15,4760,2480
38,T,2023-10-24,44644,1268
39,T,2023-10-19,51544,4088
40,T,2023-10-17,75764,2244
41,F,2023-10-09,31007,3236
42,F,2023-10-22,25088,118
43,T,2023-10-31,99193,1795
44,F,2023-10-09,36924,4663
45,F,2023-11-02,12713,3657
46,T,2023-10-21,88729,360
47,F,2023-10-30,71344,2709
48,F,2023-10-30,47381,1868
49,F,2023-10-13,90306,1924
50,F,2023-11-04,96384,2771
51,T,2023-11-05,20369,3759
52,F,2023-10-24,15373,403
53,T,2023-11-03,89017,2682
54,T,2023-10-30,1836,1114
55,F,2023-10-28,55544,2690
56,F,2023-10-15,50816,2445
57,T,2023-10-26,22544,1766
58,F,2023-10-28,35293,4716
59,F,2023-10-23,22670,1104
60,F,2023-10-27,2556,1593
61,F,2023-10-18,49159,4756
62,F,2023-10-13,20350,2654
63,T,2023-10-12,16560,2745
64,F,2023-10-18,36157,4063
65,F,2023-10-27,86658,1624
66,F,2023-10-11,98425,3391
67,T,2023-10-09,50929,62
68,T,2023-10-18,61064,3787
69,F,2023-10-10,40352,1874
