id,descripcion,costo,fecha,reservahabitaciones_id
0,Under.,38,2023-10-30,405
1,Tree.,37,2023-11-01,38112
2,There.,14,2023-10-23,72878
3,Less.,123,2023-11-04,31251
4,Other.,165,2023-10-16,85726
5,Every.,74,2023-10-15,56513
6,Interview.,166,2023-10-10,50784
7,Bad.,36,2023-10-31,93471
8,Appear.,194,2023-10-13,4518
9,Where.,65,2023-10-12,97005
10,Child.,156,2023-10-23,58116
11,First.,18,2023-11-06,99616
12,Night.,193,2023-10-13,12033
13,Same case.,113,2023-11-02,30516
14,Play site.,61,2023-10-30,47188
15,Man.,193,2023-10-28,29003
16,Require.,133,2023-10-19,14315
17,Arrive.,81,2023-11-04,87620
18,Training.,110,2023-10-21,30608
19,Partner.,189,2023-11-02,72926
20,Adult job.,197,2023-10-28,79472
21,Billion.,90,2023-10-23,40943
22,Spring.,97,2023-10-24,91202
23,Score.,82,2023-10-25,3965
24,Paper.,149,2023-11-01,56344
25,See.,69,2023-11-01,56390
26,Down.,12,2023-10-18,58988
27,Film.,197,2023-10-20,16171
28,Oil.,186,2023-10-28,56894
29,Example.,44,2023-10-28,86537
30,Win.,141,2023-10-30,4394
31,Arm lose.,101,2023-11-02,87530
32,Same TV.,185,2023-10-19,69690
33,Miss.,142,2023-10-09,34301
34,Leader.,160,2023-10-08,81790
35,Who look.,160,2023-10-17,62947
36,Raise.,197,2023-10-30,61901
37,Too find.,145,2023-10-15,50194
38,Create.,42,2023-10-10,27962
39,What.,30,2023-10-30,97782
40,Land.,88,2023-10-17,64110
41,Marriage.,192,2023-10-20,12074
42,Material.,177,2023-10-19,32152
43,Use check.,25,2023-10-17,75265
44,Health.,129,2023-10-13,81021
45,Tend ball.,79,2023-10-21,48777
46,Idea why.,91,2023-10-11,52195
47,Three.,88,2023-10-12,45368
48,Cause.,156,2023-11-05,62673
49,Attack.,133,2023-11-03,28180
50,Become.,187,2023-10-21,82274
51,Mouth.,75,2023-10-19,51799
52,Page true.,71,2023-11-06,69888
