establecimiento_id,productos_id
547,5839
622,42139
775,46532
441,7079
660,42091
123,38836
386,49060
208,13769
177,23296
56,26170
308,36235
749,9723
496,35579
103,42350
936,40492
593,19106
529,49373
466,34349
10,45187
485,32430
93,11858
23,41907
757,18844
932,36579
353,47024
750,28332
19,20938
804,435
614,23632
160,11040
757,190
525,47033
72,32919
679,39693
488,4681
367,30219
218,6617
892,32201
365,23735
522,5604
420,37535
148,34187
153,39497
955,36771
464,19436
580,40009
298,20768
699,2102
814,2134
211,13563
315,33643
953,40831
852,3123
329,7800
102,35046
712,12679
970,43559
408,43804
876,18153
573,44661
749,45741
66,48108
794,13789
284,35208
257,35207
647,12638
34,37853
129,40134
418,27625
587,36585
993,24578
96,23142
742,10560
573,8630
81,185
816,18528
751,33479
595,14179
520,25964
583,24619
732,24424
792,16516
592,16123
226,15595
704,18740
192,44658
387,6683
514,10413
703,38914
232,36204
427,23119
975,42393
667,30653
666,20229
894,27763
26,37024
236,24189
685,33858
96,25703
126,1217
839,35056
852,2532
808,35587
182,3267
475,819
961,3101
899,22661
412,16732
833,31544
606,28430
530,3244
214,41534
776,43564
223,43800
446,29675
917,13983
80,23315
364,45440
647,19938
281,21639
213,13323
702,12377
245,37076
285,29224
549,19807
635,39608
646,31094
48,28263
255,35632
120,19642
106,36795
531,12002
690,9999
575,42176
563,10602
398,18292
426,15955
563,21716
949,26556
788,34050
823,38193
755,30210
632,4963
688,38675
190,47413
742,39066
978,1197
933,7695
664,32035
580,6261
70,4413
661,30598
899,25006
350,9689
884,33377
50,6502
966,20209
357,13538
746,16805
757,9306
612,18237
795,15814
884,26671
457,9146
77,36312
954,18882
504,6826
979,16412
90,1834
323,45988
171,19588
168,9962
178,47035
59,18163
642,27400
727,29324
247,4462
831,3314
48,24241
771,38707
344,43677
47,25034
693,14521
546,30555
649,37228
118,48055
927,16766
985,48361
817,7456
583,42459
570,25839
509,15048
720,12804
211,32662
646,35150
342,5729
646,34228
61,37118
399,13039
875,28979
345,21950
935,45774
848,11006
765,38832
958,11424
225,21775
54,4673
323,9976
483,18307
59,14552
16,48038
690,31070
73,37371
590,47647
457,38170
296,9135
307,23750
935,29214
926,23475
884,17980
708,24427
190,7338
221,5136
807,44990
326,10600
967,26904
290,9073
446,10658
187,48879
699,21027
482,1656
48,12365
487,36494
924,49502
149,11537
544,22195
157,44342
896,47778
28,13358
704,17821
219,24908
574,11388
970,10978
791,29151
429,48
32,8515
861,23924
661,43860
648,41452
658,3684
656,39805
18,23660
726,14590
552,18974
646,41376
520,49328
394,13072
336,33978
980,10422
253,21005
72,5293
