id,nombre,descuento
0,building,46
1,eye,22
2,new,46
3,age,35
4,about,42
5,change,24
6,opportunity,23
7,return,31
8,lot,17
9,Congress,31
10,pattern,36
11,sort,26
12,official,10
13,citizen,16
14,position,16
15,best,15
16,exist,49
17,impact,38
18,few,15
19,culture,33
20,want,12
21,join,45
22,part,21
23,project,45
24,live,12
25,realize,26
26,religious,43
27,coach,34
28,statement,47
29,deal,46
30,spring,10
31,although,42
32,artist,10
33,interesting,33
34,performance,10
35,side,11
36,action,10
37,actually,11
38,himself,19
39,back,19
40,together,30
41,democratic,26
42,imagine,28
43,return,43
44,art,38
45,couple,40
46,relationship,35
47,seek,22
48,form,16
49,list,14
50,difficult,37
51,mean,13
52,soldier,14
53,respond,29
54,choice,44
55,add,47
56,send,21
57,know,49
58,wrong,44
59,without,47
60,person,33
61,modern,16
62,wide,35
63,lay,17
64,leave,32
65,measure,48
66,term,16
67,leave,31
68,speech,31
69,open,48
70,person,21
71,discuss,47
72,magazine,48
73,agreement,47
74,model,14
75,subject,49
76,information,10
77,cover,28
78,coach,14
79,risk,37
80,smile,48
81,them,45
82,rate,40
83,leg,39
84,her,30
85,level,37
86,well,38
87,dream,39
88,choose,22
89,toward,38
90,performance,21
91,glass,44
92,experience,44
93,discover,23
94,executive,13
95,hotel,16
96,contain,45
97,may,18
98,word,27
99,research,38
100,stage,32
101,join,39
102,inside,10
103,like,14
104,movement,36
105,that,15
106,spend,26
107,want,36
108,force,26
109,hold,20
110,since,48
111,might,11
112,rock,38
113,leave,38
114,church,17
115,leave,45
116,check,47
117,leader,20
118,sing,36
119,painting,44
120,movie,18
121,bit,40
122,difference,36
123,garden,19
124,customer,47
125,energy,23
126,community,19
127,myself,34
128,end,45
129,smile,28
130,technology,15
131,quickly,49
132,rate,37
133,field,47
134,firm,25
135,option,38
136,from,17
137,center,24
138,want,39
139,throw,42
140,window,12
141,fly,22
142,force,25
143,long,49
144,senior,43
145,nor,33
146,raise,33
147,though,26
148,person,28
149,born,46
150,stay,41
151,call,26
152,he,35
153,through,24
154,enough,11
155,individual,15
156,window,16
157,eight,50
158,easy,36
159,he,31
160,right,28
161,daughter,26
162,wind,27
163,throughout,15
164,work,12
165,us,49
166,themselves,27
167,source,48
168,perhaps,45
169,nearly,36
170,east,20
171,instead,17
172,color,29
173,hope,40
174,trouble,31
175,production,13
176,talk,24
177,step,20
178,read,11
179,outside,38
180,actually,13
181,plant,45
182,catch,32
183,though,28
184,other,38
185,though,28
186,deal,46
187,field,39
188,consider,24
189,concern,38
190,according,16
191,wide,13
192,their,16
193,notice,18
194,arm,27
195,could,39
196,plan,30
197,beautiful,38
198,fish,29
199,effort,37
200,admit,19
201,company,42
202,old,43
203,nice,27
204,total,40
205,establish,23
206,east,43
207,road,27
208,cause,50
209,provide,18
210,thank,14
211,five,15
212,marriage,46
213,animal,40
214,impact,40
215,hour,30
216,foot,12
217,have,40
218,probably,38
219,support,12
220,no,31
221,election,42
222,paper,28
223,friend,12
224,own,40
225,purpose,27
226,beyond,26
227,meeting,11
228,rise,32
229,interview,26
230,minute,32
231,become,44
232,idea,37
233,community,32
234,about,50
235,group,36
236,data,13
237,book,25
238,simply,26
239,white,35
240,stay,28
241,exactly,24
242,trip,28
243,skin,43
244,brother,30
245,buy,37
246,war,19
247,stage,44
248,chance,30
249,material,35
250,whom,22
251,analysis,42
252,mention,24
253,record,13
254,man,16
255,free,19
256,manager,15
257,job,37
258,degree,19
259,study,31
260,smile,41
261,surface,13
262,produce,47
263,plan,44
264,trouble,20
265,move,33
266,pull,41
267,join,36
268,scene,39
269,kitchen,13
270,head,34
271,own,43
272,enough,35
