id,costo,descripcion
0,96,energy
1,164,whatever
2,171,degree
3,148,responsibility
4,197,sometimes
5,177,room
6,55,area
7,26,south
8,145,now
9,15,material
10,161,speak
11,39,its
12,26,everyone
13,144,call
14,31,former
15,136,the
16,83,represent
17,169,upon
18,121,total
19,144,on
20,100,color
21,183,whatever
22,42,industry
23,188,despite
24,155,together
25,44,process
26,170,specific
27,41,state
28,192,beyond
29,165,general
30,96,question
31,90,read
32,30,stop
33,141,dinner
34,43,green
35,100,current
36,61,boy
37,126,best
38,173,author
39,31,control
40,63,again
41,78,eat
42,74,bag
43,32,understand
44,199,street
45,74,us
46,68,film
47,158,performance
48,129,draw
49,158,operation
50,178,simple
51,112,color
52,168,actually
53,197,simple
54,111,top
55,176,worry
56,67,present
57,101,support
58,191,girl
59,180,race
60,149,old
61,168,on
62,109,across
63,133,cost
64,19,medical
65,61,spring
66,147,hotel
67,19,through
68,76,half
69,198,draw
70,129,east
71,158,compare
72,38,man
73,145,professor
74,170,mission
75,157,break
76,164,big
77,49,usually
78,21,apply
79,89,light
80,42,which
81,64,hospital
82,121,decide
83,36,school
84,89,positive
85,177,both
86,131,Mr
87,177,election
88,150,share
89,73,want
90,130,water
91,65,physical
92,33,music
93,191,medical
94,18,hold
95,49,common
96,151,real
97,145,certain
98,50,shake
99,122,law
100,164,age
101,131,off
102,200,return
103,99,into
104,179,past
105,187,grow
106,100,goal
107,168,offer
108,50,sea
109,124,break
110,52,in
111,174,save
112,163,second
113,116,news
114,32,game
115,43,vote
116,193,official
117,25,tell
118,50,room
119,10,send
120,47,billion
121,48,carry
122,114,go
123,94,everybody
124,77,summer
125,27,move
126,56,pass
127,184,field
128,93,toward
129,104,national
130,71,kitchen
131,48,catch
132,50,including
133,123,huge
134,38,stuff
135,58,nation
136,184,school
137,21,home
138,31,administration
139,59,certainly
140,73,employee
141,147,product
142,175,board
143,182,picture
144,81,south
145,120,add
146,28,story
147,108,movie
148,14,manage
149,157,reflect
150,58,give
151,39,manage
152,58,expert
153,65,no
154,134,risk
155,169,national
156,138,according
157,44,watch
158,32,play
159,112,race
160,145,would
161,80,street
162,126,investment
163,16,Republican
164,119,pull
165,75,economic
166,159,stop
167,11,wait
168,59,leave
169,151,common
170,48,wide
171,162,eight
172,15,onto
173,26,note
174,39,no
175,36,enjoy
176,38,discover
177,82,room
178,191,fly
179,162,body
180,148,toward
181,33,close
182,115,loss
183,75,office
184,22,own
185,32,lot
186,100,door
187,25,try
188,94,yourself
189,106,next
190,65,trouble
191,161,hand
192,101,someone
193,122,because
194,113,next
195,50,raise
196,174,door
197,157,great
198,179,general
199,184,response
200,45,write
201,85,pay
202,155,beat
203,194,line
204,160,situation
205,185,capital
206,151,brother
207,97,require
208,119,class
209,16,list
210,197,old
211,18,break
212,41,common
213,119,art
214,164,cultural
215,17,happen
216,17,environmental
217,139,less
218,162,management
219,160,strong
220,148,outside
221,194,if
222,120,old
223,186,him
224,167,difficult
225,150,including
226,126,firm
227,157,prove
228,55,cold
229,30,occur
230,184,threat
231,105,remain
232,87,do
233,139,forget
234,125,join
235,113,early
236,136,wall
237,12,some
238,42,heart
239,40,all
240,98,son
241,66,system
242,78,member
243,187,finally
244,154,class
245,174,here
246,66,determine
247,109,position
248,76,financial
249,68,sing
250,192,animal
251,176,perhaps
252,88,report
253,110,guess
254,111,baby
255,89,fight
256,160,both
257,63,article
258,98,husband
259,13,way
260,57,notice
261,70,think
262,18,usually
263,200,one
264,148,trial
265,61,better
266,86,friend
267,27,down
268,152,skill
269,23,food
270,78,thus
271,62,kitchen
272,116,final
273,47,family
274,174,response
275,10,light
276,194,tell
277,90,town
278,145,sometimes
279,21,military
280,80,law
281,65,keep
282,47,culture
283,191,bring
284,83,society
285,27,big
286,99,prevent
287,141,box
288,121,ground
289,109,often
290,164,one
291,61,national
292,190,a
293,159,them
294,78,question
295,89,large
296,35,hour
297,188,write
298,88,safe
299,117,late
300,135,partner
301,172,will
302,139,wear
303,80,perhaps
304,117,carry
305,12,special
306,28,rise
307,171,whether
308,117,evidence
309,160,each
310,45,action
311,22,trade
312,78,already
313,31,particularly
314,76,less
315,43,character
316,37,life
317,32,certain
318,152,recognize
319,172,song
320,43,indicate
321,124,organization
322,199,produce
323,192,scientist
324,48,respond
325,152,public
326,124,bed
327,200,election
328,149,he
329,96,center
330,56,walk
331,24,feel
332,43,act
333,138,pass
334,14,event
335,110,discussion
336,40,direction
337,73,practice
338,184,south
339,78,hour
340,149,million
341,27,suffer
342,47,dog
343,57,source
344,132,instead
345,157,share
346,15,trial
347,47,color
348,77,product
349,113,method
350,146,city
351,54,heavy
352,93,father
353,108,successful
354,124,the
355,157,training
356,92,should
357,84,nation
358,122,fight
359,148,interesting
360,112,music
361,41,report
362,123,respond
363,42,him
364,36,lay
365,144,above
366,77,wish
367,22,lot
368,169,enter
369,99,difficult
370,61,nice
371,97,be
372,184,weight
373,172,spend
374,117,always
375,136,business
376,99,ability
377,14,think
378,178,drop
379,138,computer
380,19,defense
381,188,class
382,20,manage
383,104,leave
384,61,single
385,134,enter
386,190,particular
387,59,once
388,68,you
389,18,box
390,84,chance
391,70,big
392,21,unit
393,20,me
394,165,federal
395,77,difficult
396,167,throughout
397,46,marriage
398,50,yard
